Question,Option A,Option B,Option C,Option D,Answer,Explanation,Category,Difficulty
What does CPU stand for?,Central Processing Unit,Computer Personal Unit,Central Program Utility,Core Processing Unit,A,CPU stands for Central Processing Unit — the primary component of a computer that executes instructions.,Technology,Easy
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,Mars is called the Red Planet because its surface is covered in iron oxide (rust) giving it a reddish appearance.,Science,Easy
Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,James Watt,C,Alexander Graham Bell is credited with inventing the first practical telephone in 1876.,History,Easy
What is the chemical symbol for Gold?,Go,Gd,Au,Ag,C,Gold's chemical symbol Au comes from the Latin word 'Aurum'. It is a precious metal with atomic number 79.,Science,Easy
Which is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,The Pacific Ocean is the largest and deepest ocean covering more than 165 million square kilometres — about 46% of Earth's water surface.,Geography,Easy
What does RAM stand for in computers?,Random Access Memory,Read And Modify,Rapid Application Module,Random Allocation Memory,A,RAM (Random Access Memory) is a type of volatile computer memory that temporarily stores data being used by running programs.,Technology,Easy
In which year did India gain independence?,1945,1947,1950,1952,B,India gained independence from British rule on 15 August 1947. Jawaharlal Nehru became the first Prime Minister.,History,Easy
What is the smallest prime number?,0,1,2,3,C,2 is the smallest and the only even prime number. A prime number has exactly two factors: 1 and itself.,Mathematics,Easy
Which gas do plants absorb during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide (CO₂) from the atmosphere and use sunlight to convert it into glucose and oxygen during photosynthesis.,Science,Easy
What is the capital of Japan?,Beijing,Seoul,Bangkok,Tokyo,D,Tokyo is the capital and largest city of Japan. It is also one of the most populous metropolitan areas in the world.,Geography,Easy
Which data structure operates on FIFO principle?,Stack,Queue,Tree,Graph,B,Queue follows FIFO — First In First Out. Elements are added at the rear and removed from the front.,Technology,Easy
How many bytes are in a kilobyte?,512,1000,1024,2048,C,1 Kilobyte = 1024 Bytes. This is based on binary (2^10 = 1024). Note: In decimal SI units it is 1000 bytes.,Technology,Easy
